Company,Crunchbase,Industries,Location,Employee Count,Founded Date,Investor Count,Lead Investor Count,Select Investors,Funding,Round
Concerto HealthAI,https://www.crunchbase.com/organization/concerto-healthai,Artificial Intelligence,"Boston, Massachusetts, United States",101-250,2017,4.0,1.0,"Declaration Partners, Maverick Ventures, AllianceBernstein, SymphonyAI Group, Symphony Technology Group",$170 ,1.0
Covariant AI,https://www.crunchbase.com/organization/embodied-intelligence,"Artificial Intelligence, Robotics, Software","Emeryville, California, United States",Nov-50,2017,6.0,1.0,"Lux Capital, SV Angel, FreesFund, Samsung NEXT, 11.2 Capital",$7 ,1.0
Cresta,https://www.crunchbase.com/organization/cresta,"Artificial Intelligence, Machine Learning, Software","Palo Alto, California, United States",Nov-50,2017,5.0,,Andreessen Horowitz,,1.0
Cyclica,https://www.crunchbase.com/organization/cyclica,"Artificial Intelligence, Biotechnology, Pharmaceutical","Toronto, Ontario, Canada",Nov-50,13-May,6.0,1.0,"GreenSky Capital, Epic Capital Management, Grants4Apps, JLabs",$4 ,6.0
DarwinAI,https://www.crunchbase.com/organization/darwinai,"Artificial Intelligence, Education, Software","Waterloo, Ontario, Canada",Nov-50,2017,5.0,2.0,"Obvious Ventures, Inovia Capital, Lazaridis Scale-Up Program",$3 ,3.0
DataProphet,https://www.crunchbase.com/organization/data-prophet-pty-ltd-,"Artificial Intelligence, Automotive, Foundries, Information Technology, Internet of Things, Manufacturing, Mineral, Predictive Analytics, SaaS, Software","Cape Town, NA - South Africa, South Africa",Nov-50,2014,1.0,1.0,"Yellowwoods, Knife Capital, Webber Wentzel Ignite Incubator",$0 ,1.0
DataRobot,https://www.crunchbase.com/organization/datarobot,"Artificial Intelligence, Enterprise Software, Information Technology, Machine Learning, Predictive Analytics, Robotics, SaaS","Boston, Massachusetts, United States",1001-5000,1-Jun-12,22.0,3.0,"New Enterprise Associates, Tiger Global Management, Intel Capital, Sapphire Ventures, Meritech Capital Partners",$431 ,7.0
Deeplite,https://www.crunchbase.com/organization/deeplite,"Artificial Intelligence, Computer Vision, Embedded Systems, Information Technology, Machine Learning, Software","Montrí©al, Quebec, Canada",10-Jan,1-Apr-18,1.0,,"TandemLaunch, The Blackberry/L-Spark Accelerator",$1 ,1.0
DeepSig,https://www.crunchbase.com/organization/deepsig-inc,"Artificial Intelligence, Machine Learning, Wireless","Arlington, Virginia, United States",Nov-50,4-Nov-16,7.0,1.0,Scout Ventures,$2 ,3.0
Dorabot,https://www.crunchbase.com/organization/dorabot,"Artificial Intelligence, Logistics, Machine Learning, Robotics, Service Industry, Warehousing","Shenzhen, Guangdong, China",101-250,2015,3.0,3.0,"Yunfeng Capital, GP Capital, Sinovation Ventures, Hongtai Capital Holdings, Plug and Play Accelerator",$2 ,3.0
dotData,https://www.crunchbase.com/organization/dotdata,"Artificial Intelligence, Big Data, Data Center Automation, Industrial Automation, Information Technology","Cupertino, California, United States",51-100,2018,3.0,2.0,"Goldman Sachs, JAFCO Co., NEC, Microsoft ScaleUp",$23 ,2.0
Eko,https://www.crunchbase.com/organization/eko-health,"Artificial Intelligence, Electronic Health Record (EHR), Health Care, Health Diagnostics, Machine Learning, Medical Device, mHealth, Mobile, Software","Berkeley, California, United States",Nov-50,2013,16.0,1.0,"Artis Ventures, StartX, Mayo Clinic, 3M Ventures, DreamIt Ventures",$27 ,6.0
Faire,https://www.crunchbase.com/organization/indigo-fair,"E-Commerce, Marketplace, Retail, Retail Technology, Wholesale","San Francisco, California, United States",101-250,17-Jan,9.0,5.0,"Sequoia Capital, Lightspeed Venture Partners, Khosla Ventures, Y Combinator, DST Global",$266 ,6.0
Falkonry,https://www.crunchbase.com/organization/falkonry,"Artificial Intelligence, Industrial, Internet of Things, Machine Learning, National Security, Predictive Analytics, SaaS, Software","Sunnyvale, California, United States",Nov-50,1-Jan-13,8.0,4.0,"Polaris Partners, Zetta Venture Partners, Presidio Ventures, Basis Set Ventures, Start Smart Labs",$10 ,2.0
FanAI,https://www.crunchbase.com/organization/fanai-inc,"Artificial Intelligence, eSports, Fantasy Sports, Internet, Location Based Services, Social Media","Santa Monica, California, United States",Nov-50,13-Jul-16,22.0,3.0,"Greycroft, Rosecliff Ventures, Courtside Ventures, Marubeni, M Ventures",$12 ,3.0
Featurespace,https://www.crunchbase.com/organization/featurespace,"Banking, FinTech, Fraud Detection, Risk Management","Cambridge, England, United Kingdom",101-250,2008,15.0,6.0,"Insight Partners, Highland Europe, TTV Capital, IP Group, MissionOG",$73 ,6.0
Ghost Locomotion,https://www.crunchbase.com/organization/ghost-locomotion,"Automotive, Autonomous Vehicles, Electric Vehicle, Product Design, Transportation","Mountain View, California, United States",Nov-50,2017,4.0,,"Founders Fund, Khosla Ventures, Sutter Hill Ventures",$64 ,3.0
